Figure number and title,Panel,Version,Script name,Script path,Working directory,Purpose,Exact command,Input files,Input tables,Intermediate data,Parameters and filters,Random seed,Dependencies,Output files,Output directory,Relation to other scripts,Relation to application,Execution order,Execution status
Supplementary Figure 57: SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 57,data/taxonomy_palette.json,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=12.0 pt; labels=12.5 pt; legend=11.5 pt | Top 24 taxa plus Others, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure57_Taxonomy_Archaea_Family_individual_samples_barplot_100pct.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 58: SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 58,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=x=12.0, y=11.5 pt; labels=11.5 pt; colourbar=11.0 pt | Top 30 taxa, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure58_Taxonomy_Archaea_Family_individual_samples_heatmap_relative_abundance.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 59: SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure59_Taxonomy_Bacteria_Genus_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 60: SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure60_Taxonomy_Bacteria_Genus_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 61: SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 61,data/taxonomy_palette.json,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=12.0 pt; labels=12.5 pt; legend=11.5 pt | Top 24 taxa plus Others, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure61_Taxonomy_Archaea_Genus_individual_samples_barplot_100pct.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 62: SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure62_Taxonomy_Archaea_Genus_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 63: SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 63,data/taxonomy_palette.json,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=12.0 pt; labels=12.5 pt; legend=11.5 pt | Top 24 taxa plus Others, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure63_Taxonomy_Bacteria_Species_individual_samples_barplot_100pct.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 64: SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure64_Taxonomy_Bacteria_Species_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 65: SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 65,data/taxonomy_palette.json,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=12.0 pt; labels=12.5 pt; legend=11.5 pt | Top 24 taxa plus Others, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure65_Taxonomy_Archaea_Species_individual_samples_barplot_100pct.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 66: SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure66_Taxonomy_Archaea_Species_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 67: Amazonian plus external thematic module completeness,P001,Original/final,generate_environmental_group_heatmaps.py,scripts/figures/generate_environmental_group_heatmaps.py,CangaMetaG_App_Final/,Show all original module-completeness states for rows with at least one Complete call across the combined Amazonian and external matrix.,python scripts/figures/generate_environmental_group_heatmaps.py --root .,Not applicable,data/module_figure_inputs/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,data/final_publication_derived/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_status.csv; data/final_publication_derived/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_column_order.csv,"Rows unchanged; 20 modules per panel; original column order; colors Complete #2E7D32, 1 block missing #4575B4, Incomplete #D73027; missing white. | No recalculation, aggregation, normalization or status reclassification.",Not applicable — deterministic ordering and categorical heatmap.,Python; pandas; NumPy; Matplotlib,outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P001.png; outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P001.pdf; outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P001.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 40; Supplementary Figure 67; Supplementary Figure 67 — environmental group,outputs/app_supplementary_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.png,1,EXECUTED PASS — figure regenerated and scientific-equivalence audit passed.
Supplementary Figure 67: Amazonian plus external thematic module completeness,P002,Original/final,generate_environmental_group_heatmaps.py,scripts/figures/generate_environmental_group_heatmaps.py,CangaMetaG_App_Final/,Show all original module-completeness states for rows with at least one Complete call across the combined Amazonian and external matrix.,python scripts/figures/generate_environmental_group_heatmaps.py --root .,Not applicable,data/module_figure_inputs/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,data/final_publication_derived/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_status.csv; data/final_publication_derived/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_column_order.csv,"Rows unchanged; 20 modules per panel; original column order; colors Complete #2E7D32, 1 block missing #4575B4, Incomplete #D73027; missing white. | No recalculation, aggregation, normalization or status reclassification.",Not applicable — deterministic ordering and categorical heatmap.,Python; pandas; NumPy; Matplotlib,outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P002.png; outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P002.pdf; outputs/final_publication_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_P002.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 40; Supplementary Figure 67; Supplementary Figure 67 — environmental group,outputs/app_supplementary_figures/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap.png,2,EXECUTED PASS — figure regenerated and scientific-equivalence audit passed.
Supplementary Figure 68: SupplementaryFigure68_biogeochemical_KO_directional_contrast,Complete figure,Original/final,generate_bidirectional_environment_contrast_figures.py,scripts/generate_bidirectional_environment_contrast_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure68_biogeochemical_KO_directional_contrast from the documented packaged study inputs.,python scripts/generate_bidirectional_environment_contrast_figures.py --base-dir .,Not applicable,tables/Supplementary_Table_4.xlsx; tables/Supplementary_Table_5.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure68_biogeochemical_KO_directional_contrast.png; outputs/final_publication_figures/SupplementaryFigure68_biogeochemical_KO_directional_contrast.pdf; outputs/final_publication_figures/SupplementaryFigure68_biogeochemical_KO_directional_contrast.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 68; Supplementary Figure 69,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 69: SupplementaryFigure69_iron_KO_directional_contrast,Complete figure,Original/final,generate_bidirectional_environment_contrast_figures.py,scripts/generate_bidirectional_environment_contrast_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure69_iron_KO_directional_contrast from the documented packaged study inputs.,python scripts/generate_bidirectional_environment_contrast_figures.py --base-dir .,Not applicable,tables/Supplementary_Table_4.xlsx; tables/Supplementary_Table_5.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure69_iron_KO_directional_contrast.png; outputs/final_publication_figures/SupplementaryFigure69_iron_KO_directional_contrast.pdf; outputs/final_publication_figures/SupplementaryFigure69_iron_KO_directional_contrast.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 68; Supplementary Figure 69,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
